name,coaching_tree_birth_year,statscrew_id,statscrew_born,verdict
Bill Arnsparger,1926,,,no person page
Bill Nelsen,1941,nelsebil001,"January 29, 1941",agree
Bob Hollway,1926,,,no person page
Bob Schnelker,1928,schnebob001,"October 17, 1928",agree
Bobb McKittrick,1935,,,no person page
Charlie Sumner,1930,sumnecha001,"October 19, 1930",agree
Chuck Weber,1930,weberchu001,"March 25, 1930",agree
Dick Bielski,1932,bielsdic001,"September 7, 1932",agree
Ernie Adams,1953,,,no person page
Frank Gansz,1938,,,no person page
Harry Gilmer,1926,gilmehar001,"April 14, 1926",agree
Howard Mudd,1942,muddhow001,"February 10, 1942",agree
Jack Christiansen,1928,chrisjac001,"December 20, 1928",agree
Jim Ringo,1931,ringojim001,"November 21, 1931",agree
Jim Shofner,1935,shofnjim001,"December 18, 1935",agree
Joe Spencer,1923,spencjoe001,"August 15, 1923",agree
John North,1921,northjoh001,"June 17, 1921",agree
John Sandusky,1925,sandujoh001,"December 28, 1925",agree
Ken Meyer,1926,,,no person page
King Hill,1936,hillkin001,"November 8, 1936",agree
Lew Carpenter,1932,carpelew001,"January 12, 1932",agree
Marty Schottenheimer,1943,schotmar001,"September 23, 1943",agree
Mike McCormack,1930,mccormik001,"June 21, 1930",agree
Ollie Spencer,1931,spencoll001,"April 17, 1931",agree
Rollie Dotsch,1933,,,no person page
Sid Gillman,1911,,,no person page
Tom Bettis,1933,bettitom001,"March 17, 1933",agree
Tom Keane,1926,keanetom001,"September 7, 1926",agree
Whitey Dovell,1927,,,no person page
