name,birth_year,source
Aaron Glenn,1972,wikidata:P569 occupation=American football coach
Aaron Kromer,1967,wikidata:P569 occupation=American football coach
Al Groh,1944,wikidata:P569 occupation=American football coach
Al Roberts,1944,wikidata:P569 occupation=American football coach
Al Saunders,1947,wikidata:P569 occupation=American football coach
Alan Lowry,1950,wikidata:P569 occupation=American football coach
Alan Williams,1969,wikidata:P569 occupation=American football coach
Alex Van Pelt,1970,wikidata:P569 occupation=American football coach
Alex Wood,1955,wikidata:P569 occupation=American football coach
Amos Jones,1959,wikidata:P569 occupation=American football coach
Andy Reid,1958,wikidata:P569 occupation=American football coach
Anthony Lynn,1968,wikidata:P569 occupation=American football coach
Art Shell,1946,wikidata:P569 occupation=American football coach
Arthur Smith,1982,wikidata:P569 occupation=American football coach
Bill Belichick,1952,wikidata:P569 occupation=American football coach
Bill Callahan,1956,wikidata:P569 occupation=American football coach
Bill Cowher,1957,wikidata:P569 occupation=American football coach
Bill Davis,1916,wikidata:P569 occupation=American football coach
Bill Lazor,1972,wikidata:P569 occupation=American football coach
Bill Muir,1942,wikidata:P569 occupation=American football coach
Bill Musgrave,1967,wikidata:P569 occupation=American football coach
Bill O'Brien,1969,wikidata:P569 occupation=American football coach
Bill Parcells,1941,wikidata:P569 occupation=American football coach
Bill Sheridan,1959,wikidata:P569 occupation=American football coach
Bill Walsh,1931,wikidata:P569 occupation=American football coach
Billy Davis,1965,wikidata:P569 occupation=American football coach
Bob Babich,1947,wikidata:P569 occupation=American football coach
Bob Baker,1927,wikidata:P569 occupation=American football coach
Bob Bratkowski,1955,wikidata:P569 occupation=American football coach
Bob Casullo,1951,wikipedia:intro extract
Bob Sanders,1953,wikidata:P569 occupation=American football coach
Bob Schnelker,1928,wikidata:P569 occupation=American football coach
Bob Slowik,1954,wikidata:P569 occupation=American football coach
Bob Sutton,1951,wikidata:P569 occupation=American football coach
Bobby April,1953,wikidata:P569 occupation=American football coach
Bobby Jackson,1940,wikidata:P569 occupation=American football coach
Bobby Petrino,1961,wikidata:P569 occupation=American football coach
Bobby Ross,1936,wikidata:P569 occupation=American football coach
Brad Childress,1956,wikidata:P569 occupation=American football coach
Brad Seely,1956,wikipedia:intro extract
Brandon Staley,1982,wikidata:P569 occupation=American football coach
Brant Boyer,1971,wikidata:P569 occupation=American football coach
Brian Billick,1954,wikidata:P569 occupation=American football coach
Brian Callahan,1984,wikidata:P569 occupation=American football coach
Brian Daboll,1975,wikidata:P569 occupation=American football coach
Brian Flores,1981,wikidata:P569 occupation=American football coach
Brian Schneider,1971,wikidata:P569 occupation=American football coach
Brian Schottenheimer,1973,wikidata:P569 occupation=American football coach
Brock Olivo,1976,wikidata:P569 occupation=American football coach
Bruce Arians,1952,wikidata:P569 occupation=American football coach
Bruce Coslet,1946,wikidata:P569 occupation=American football coach
Bruce DeHaven,1948,wikipedia:Bruce_DeHaven
Bud Carson,1930,wikidata:P569 occupation=American football coach
Buddy Ryan,1931,wikidata:P569 occupation=American football coach
Butch Davis,1951,wikidata:P569 occupation=American football coach
Byron Leftwich,1980,wikidata:P569 occupation=American football coach
Cam Cameron,1961,wikidata:P569 occupation=American football coach
Carl Smith,1948,wikidata:P569 occupation=American football coach
Chan Gailey,1952,wikidata:P569 occupation=American football coach
Charlie Sumner,1930,wikidata:P569 occupation=American football coach
Charlie Weis,1956,wikipedia:intro extract
Charlie West,1946,wikidata:P569 occupation=American football coach
Chase Blackburn,1983,wikidata:P569 occupation=American football coach
Chip Kelly,1963,wikidata:P569 occupation=American football coach
Chris Horton,1984,wikidata:P569 occupation=American football coach
Chris Palmer,1949,wikidata:P569 occupation=American football coach
Chris Tabor,1971,wikidata:P569 occupation=American football coach
Chuck Bresnahan,1960,wikidata:P569 occupation=American football coach
Chuck Cecil,1964,wikidata:P569 occupation=American football coach
Chuck Knox,1932,wikidata:P569 occupation=American football coach
Chuck Noll,1932,wikidata:P569 occupation=American football coach
Chuck Pagano,1960,wikidata:P569 occupation=American football coach
Chuck Priefer,1941,wikipedia:intro extract
Clyde Christensen,1956,wikidata:P569 occupation=American football coach
Curtis Modkins,1970,wikidata:P569 occupation=American football coach
Dan Campbell,1976,wikidata:P569 occupation=American football coach
Dan Henning,1942,wikidata:P569 occupation=American football coach
Dan Neal,1949,wikidata:P569 occupation=American football coach
Dan Quinn,1970,wikidata:P569 occupation=American football coach
Dan Reeves,1944,wikidata:P569 occupation=American football coach
Danny Abramowicz,1945,wikidata:P569 occupation=American football coach
Danny Crossman,1967,wikidata:P569 occupation=American football coach
Danny Smith,1953,wikidata:P569 occupation=American football coach
Darrell Bevell,1970,wikidata:P569 occupation=American football coach
Darrin Simmons,1973,wikidata:P569 occupation=American football coach
Darryl Rogers,1935,wikidata:P569 occupation=American football coach
Dave Adolph,1937,wikidata:P569 occupation=American football coach
Dave Campo,1947,wikidata:P569 occupation=American football coach
